Fault,Index,Long,Lat,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Fisherman 3,156,174.986808,-40.615466,0.000,-0.091,0.496,0.091,0.000,-0.075,-0.082,0.358,0.113,0.064
Otaheke North,157,175.089235,-40.621346,0.000,-0.423,0.896,0.130,0.000,-0.128,-0.408,0.669,0.098,-0.163
Otaheke South,158,174.85671,-40.9365,0.283,-0.073,0.285,0.164,-0.322,0.264,-0.085,0.254,0.178,-0.288
Shepherds Gully - Mana,159,174.661298,-41.228699,0.000,-0.052,0.284,0.034,0.000,-0.029,-0.051,0.230,0.027,-0.049
BooBoo,160,174.96737,-41.673156,7.800,0.971,2.043,2.223,-0.021,7.988,1.910,2.389,3.022,0.171
Wharekauhau,161,174.97552,-41.457174,0.000,-1.768,1.408,0.926,0.000,-0.535,-1.679,1.177,0.772,-0.331
Opouawe - Uruti,162,175.206166,-41.780111,0.000,-1.149,0.788,0.894,0.000,0.005,-1.067,0.821,0.847,-0.059
Wellington Hutt Valley: 5,163,175.135107,-41.095575,5.920,0.911,2.420,1.640,0.126,4.635,0.667,1.873,1.285,0.191
Wellington: Tararua 1,164,175.228632,-41.06987,4.314,1.823,2.267,2.428,-0.071,3.824,1.337,2.233,1.933,0.081
Wellington: Tararua 2,165,175.353221,-40.969715,6.100,0.000,1.500,1.078,0.000,6.055,-0.101,1.152,0.880,0.141
Wellington: Tararua 3,166,175.490777,-40.781202,4.313,-2.156,2.265,2.413,0.084,3.606,-1.937,1.600,2.030,-0.047
Wellington: Pahiatua,167,175.661237,-40.528372,5.169,-0.327,1.229,1.083,-0.016,4.693,-0.602,0.958,1.107,-0.156
Dry River - Huangarua: 1,168,175.310844,-41.382264,0.000,-0.296,0.628,0.260,0.000,-0.056,-0.295,0.668,0.262,-0.163
Wairarapa: 2,169,175.288948,-41.134194,11.370,-1.415,4.057,2.949,-0.082,8.102,-1.333,2.818,1.792,-0.120
Palliser - Kaiwhata,170,175.707217,-41.470629,3.536,-2.709,2.180,2.046,-0.236,4.070,-2.435,1.964,2.154,-0.139
BooBoo,171,175.398278,-41.677517,7.800,0.971,2.043,2.223,-0.021,7.952,1.059,2.302,2.513,-0.141
Wahianoa,172,175.65854,-39.325924,0.000,0.575,0.884,0.222,0.000,0.091,0.583,0.828,0.228,-0.116
Ohakune,173,175.380611,-39.383861,0.000,0.590,0.906,0.296,0.000,0.055,0.561,0.773,0.277,-0.096
Carterton,174,175.703468,-40.989834,2.255,0.212,0.969,0.537,0.119,1.993,0.015,0.949,0.453,0.064
Wairarapa: 3,175,175.45499,-41.009389,5.638,-0.702,2.046,1.463,-0.086,5.350,-0.978,1.946,1.347,-0.038
Dry River - Huangarua: 2,176,175.495154,-41.246727,0.000,-0.296,0.628,0.260,0.000,-0.018,-0.013,0.018,0.037,-0.641
Mokonui Northeast,177,175.887701,-40.818901,0.469,0.058,0.288,0.124,0.238,0.485,0.065,0.294,0.111,-0.047
Mokonui Southwest,178,175.629,-40.897715,0.500,0.000,0.250,0.050,0.000,0.496,0.000,0.233,0.054,-0.239
Wairarapa: 3,179,175.611979,-40.866325,5.638,-0.702,2.046,1.463,-0.086,5.082,-0.832,1.796,1.485,0.025
Opouawe - Uruti,180,176.127478,-41.540969,0.000,-1.149,0.788,0.894,0.000,0.020,-1.091,0.755,1.001,0.017
Shawcroft Road,181,175.670697,-39.425079,0.000,0.350,0.538,0.158,0.000,0.002,0.354,0.468,0.142,0.077
Rangipo North,182,175.736112,-39.307421,0.000,0.100,0.154,0.100,0.000,-0.006,0.103,0.168,0.116,0.189
Waihi West,183,175.655427,-39.032196,0.000,1.450,2.228,0.644,0.000,-0.243,1.461,0.612,0.465,-0.241
Waihi South,184,175.618394,-39.11376,0.000,1.350,2.074,0.730,0.000,-0.184,1.408,0.606,0.445,-0.250
Dreyers Rock,185,175.750806,-40.756386,4.699,0.585,1.472,1.214,0.049,4.586,0.553,1.378,1.220,-0.462
Alfredton South,186,175.849631,-40.693188,3.289,-0.409,1.310,0.855,-0.111,3.170,-0.502,1.258,0.933,-0.097
Pa Valley,187,175.841896,-40.645818,1.409,-0.089,0.639,0.298,-0.106,1.381,-0.113,0.553,0.278,-0.143
Poutu,188,175.756585,-39.075856,0.000,1.150,1.766,0.448,0.000,0.261,0.834,0.902,0.275,0.279
Upper Waikato Stream,189,175.76426,-39.24795,0.000,0.315,0.484,0.148,0.000,0.156,0.316,0.468,0.131,-0.306
Treetrunk,190,175.82344,-39.137738,0.000,0.500,0.768,0.250,0.000,0.109,0.382,0.386,0.167,-0.102
Mohaka: North,191,176.55624,-39.334918,2.000,0.000,0.500,0.200,0.000,1.968,0.003,0.419,0.213,0.019
Mohaka: South,192,176.132425,-39.974759,3.759,-0.238,1.388,0.789,-0.076,3.789,-0.241,1.473,0.780,-0.089
Waiohau: North,193,176.820659,-38.222842,0.239,0.278,0.369,0.332,-0.702,0.245,0.273,0.483,0.425,-0.866
Waiohau: South,194,176.772348,-38.812248,0.658,0.082,0.261,0.162,0.125,0.648,0.107,0.265,0.162,0.348
Ruahine: North,195,176.439436,-39.347757,1.034,-0.065,0.499,0.218,-0.118,1.026,-0.060,0.479,0.199,0.023
Ruahine: Central,196,176.22478,-39.776569,1.034,-0.065,0.499,0.218,-0.118,1.044,-0.063,0.528,0.226,0.041
Ruahine: South,197,175.999384,-40.073731,1.034,-0.065,0.499,0.218,-0.118,1.080,-0.069,0.547,0.280,-0.207
Waipukaka,198,176.232995,-40.461655,0.469,-0.058,0.288,0.124,-0.238,0.462,-0.058,0.245,0.118,-0.055
Saunders Road,199,175.972733,-40.61819,0.940,-0.117,0.576,0.251,-0.236,0.928,-0.106,0.648,0.218,-0.355
Alfredton North,200,175.892831,-40.63401,2.349,-0.292,1.203,0.618,-0.181,2.408,-0.379,1.077,0.681,-0.372
Riversdale,201,176.120111,-41.213837,0.000,-3.064,2.102,1.110,0.000,0.073,-2.970,2.158,1.171,-0.002
Riversdale North,202,176.229034,-41.022785,0.000,-3.064,2.102,1.110,0.000,-0.782,-2.387,2.371,1.126,-0.184
Mataikona,203,176.459517,-40.648425,0.000,-3.064,2.102,1.110,0.000,0.852,-3.079,1.342,1.113,0.103
Oruawharo - Mangatoro,204,176.346826,-40.127032,1.880,-0.177,1.164,0.510,-0.175,1.613,-0.241,0.964,0.463,-0.226
Waewaepa,205,176.154723,-40.361028,2.819,-0.351,0.789,0.727,-0.021,2.873,-0.412,0.797,0.729,-0.052
Makuri - Waewaepa,206,176.02149,-40.485111,3.289,-0.409,1.310,0.855,-0.111,3.363,-0.334,1.378,0.672,-0.069
Uruti Basin,207,176.471254,-41.279269,4.000,0.000,1.500,0.400,0.000,3.689,0.016,1.660,0.428,-0.125
Whareama Bank,208,176.404048,-41.116964,1.061,-0.812,0.909,0.781,-0.562,0.932,-0.649,0.856,0.812,-0.526
Awanui,209,176.8867,-39.550723,0.000,-0.766,0.526,0.468,0.000,-0.035,-0.765,0.535,0.396,0.262
Waipukurau - Poukawa,210,176.567208,-39.969498,0.684,-0.939,1.327,1.165,0.404,0.807,-0.045,1.096,0.789,0.206
