Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Turi North,107,174.429,-38.601275,0,0.2,0.168,0.106,0,0.068,0.153,0.089,0.063,-0.186
Turi Central,108,174.17925,-38.82165,0,0.2,0.168,0.106,0,-0.003,0.222,0.149,0.115,-0.031
Turi South,109,174.057,-38.92955,0,0.2,0.168,0.106,0,0.003,0.138,0.077,0.064,-0.06
Awatere Northeast 2,110,174.162958,-41.573927,1.5,0,1,0.148,0,1.496,-0.003,1.016,0.116,-0.004
Vernon 2,111,174.108953,-41.560684,4.5,0,1.25,0.446,0,4.481,-0.006,1.102,0.386,0.059
Vernon 1,112,174.035834,-41.605833,1.539,-1.787,1.831,1.678,0.583,1.634,-1.597,1.551,1.653,0.408
Kekerengu Bank,113,174.440567,-42.207157,0.643,-0.44,0.472,0.41,-0.363,0.556,-0.35,0.391,0.274,-0.488
Campbell Bank 2,114,174.616831,-41.829662,1.268,-1.36,1.109,1.09,0.243,1.093,-1.538,1.121,1.12,0.35
Campbell Bank 1,115,174.503753,-41.894391,1.928,-0.786,1.018,1.006,-0.011,2.033,-0.674,0.967,0.994,0.02
Chancet,116,174.355618,-41.918069,2.984,0.054,1.546,0.353,0.076,2.916,0.049,1.44,0.35,0.086
Needles,117,174.316321,-41.791623,14.728,-1.086,3.811,2.803,-0.046,13.898,-1.637,3.455,3.183,-0.29
Vernon 3,118,174.204416,-41.537438,1.056,-0.775,0.89,1.05,0.528,1.062,-0.801,0.907,0.957,0.584
Cloudy 3,119,174.386045,-41.477161,0.513,0.705,0.69,0.716,0.114,0.449,0.62,0.673,0.625,0.059
Cloudy 2,120,174.30286,-41.468674,0.75,0.444,0.718,0.667,0.134,0.743,0.407,0.675,0.692,-0.071
Cloudy 1,121,174.230354,-41.507579,1.5,0,1,0.148,0,1.45,-0.001,1.228,0.158,-0.115
Marlborough Slope 4,122,174.523772,-42.309834,0,-0.193,0.102,0.18,0,0,-0.174,0.086,0.161,-0.083
Vernon 4,123,174.331674,-41.536928,1.758,-2.071,1.658,1.555,0.387,1.646,-2.197,1.364,1.481,0.151
Wairarapa - Needles 1,124,174.529712,-41.636757,11,0,2,1.356,0,11.324,0.079,2.147,0.998,-0.137
